k,silhouette_score,davies_bouldin_score,inertia
2,0.14867366764201737,2.566830112564792,164214.38230635528
3,0.17710081739734523,1.8912498732892244,137915.77181720655
4,0.1666415559177349,1.7987523422244995,125506.03929326563
5,0.1318518700218478,2.0069912981285762,116303.34051570544
6,0.13582362522094882,2.056061852567742,112452.16425687705
7,0.13886064706810775,2.0925754286906844,106350.63215812495
8,0.11741788346979506,2.1014846499575275,104912.24227642977
9,0.11262859206779337,2.166067582826474,101719.42726193253
10,0.12334965941536997,2.103336572957887,97656.1765981967
